,,Average,,Bridgewatch,,,,,,Fort Sterling,,,,,,
Timing,Item Name,T7,T8,BW 4.3,BW 5.2,BW 5.3,BW 6.1,BW 6.2,Last Checked,FS 4.3,FS 5.2,FS 5.3,FS T6.1,FS T6.2,Last Checked,
Monthly,Lifecurse Staff S26,215.038,597.125,,,,,,,211.641,220.763,632.105,212.708,562.145,02-03-2025,
Monthly,Damnation Staff S26,294.532,871.777,,,,,,,348.561,281.400,844.625,253.635,898.928,02-03-2025,
Monthly,Arcane Staff S26,115.458,444.481,,,,,,,144.522,103.426,456.610,98.425,432.351,02-03-2025,
Monthly,Malevolent Locus S26,189.181,691.405,,,,,,,190.996,160.243,767.369,216.304,615.441,02-03-2025,
Monthly,Great Arcane Staff S26,236.521,588.439,,,,,,,296.837,207.931,586.389,204.793,590.489,02-03-2025,
Monthly,Occult Staff S26,303.074,647.793,,,,,,,361.741,275.433,565.333,272.048,730.252,02-03-2025,
Monthly,Leering Cane S26,87.249,268.169,,,,,,,91.977,79.457,279.128,90.313,257.210,02-03-2025,
Monthly,Mistcaller S26,74.004,199.891,,,,,,,70.113,68.799,196.143,83.100,203.639,02-03-2025,
Monthly,Astral Aegis S26,143.398,282.939,,,,,,,121.858,155.681,277.805,152.653,288.073,02-03-2025,
Monthly,Assassin Hood S26,49.867,178.022,,,,,,,63.576,43.013,185.717,43.010,170.327,02-03-2025,
Monthly,Cleric Cowl S26,24.243,90.681,,,,,,,39.022,16.248,107.458,17.459,73.903,02-03-2025,
Monthly,Judicator Helmet S26,124.124,268.943,,,,,,,89.354,170.252,266.428,112.766,271.457,02-03-2025,
Monthly,Knight Helmet S26,37.092,158.923,,,,,,,46.370,36.867,183.060,28.037,134.785,02-03-2025,
Monthly,Judicator Armor S26,254.717,594.858,,,,,,,147.144,297.850,553.872,319.156,635.844,02-03-2025,
Monthly,Duskweaver Armor S26,136.510,441.209,,,,,,,136.510,,441.209,,,02-03-2025,4.3 and 4.4 should be used
Monthly,Knight Armor S26,66.344,358.138,,,,,,,73.322,62.180,388.364,63.528,327.912,02-03-2025,
Monthly,Guardian Armor S26,67.584,334.928,,,,,,,69.586,71.217,370.522,61.948,299.333,02-03-2025,
Monthly,Royal Jacket S26,348.535,772.752,,,,,,,348.535,,697.197,,848.306,02-03-2025,
Monthly,Demon Armor S26,95.527,397.102,,,,,,,63.177,133.756,412.644,89.648,381.560,02-03-2025,
